,mz,rt,mzmin,mzmax,rtmin,rtmax,npeaks,Average Value(non-missing),Common Name,Classification Rate,id,Proportion Missing,Imputed
4602,1086.05299817532,923.4380493164059,1085.9148365753801,1086.05734304483,918.2991333007809,936.17200000002,83,140236.94592358454,nan,nan,4602,0.01694915254237288,knn
4626,1102.1820806314802,922.45556640625,1102.02378649337,1102.18938212785,907.1792602539059,932.0043334960941,96,478374.8287875929,nan,nan,4626,0.0,no
4694,1238.49649146498,746.3295288085941,1238.48681563945,1238.4997520959,744.047973632812,751.257568359375,93,443057.321385041,nan,nan,4694,0.025423728813559324,knn
4695,1239.4899247792,747.726196289062,1239.45445507965,1239.5911834676199,745.2034301757809,753.3792114257809,98,593417.172929524,nan,nan,4695,0.025423728813559324,knn
4698,1240.48732167091,748.563598632812,1240.4523495562,1240.59294532425,745.7182006835941,754.9189453125,101,339802.3855465254,nan,nan,4698,0.0,no
4700,1241.34647098056,926.4728393554691,1241.18287060019,1241.35262933218,907.0087280273441,942.950439453125,153,366084.1716825427,nan,nan,4700,0.0,no
4735,1259.6407221790303,924.5563354492191,1259.41170252526,1259.6470782061501,906.600708007812,943.197631835938,155,660998.3563062836,nan,nan,4735,0.00847457627118644,knn
4766,1309.55412449232,706.45166015625,1309.55020680017,1309.57337306001,698.564819335938,709.5027465820309,91,140570.79080606895,nan,nan,4766,0.00847457627118644,knn
4790,1397.5515902351099,737.022674560547,1397.53844719576,1397.56298200262,734.2573852539059,739.843872070312,70,181541.49051095932,nan,nan,4790,0.00847457627118644,knn
4792,1398.5481373768,737.95751953125,1398.53500912439,1398.6313932690198,734.7373046875,762.897094726562,75,140236.7924848901,nan,nan,4792,0.01694915254237288,knn
4850,1669.0034952854999,701.883666992188,1668.9982604523002,1669.03784862818,699.8068237304691,704.6155395507809,18,20382.74341404658,nan,nan,4850,0.07627118644067797,knn
